Year,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar,Decade
1990,63.30833333333334,82.45833333333333,42.61666666666667,58.083333333333336,45.471666666666664,77.7,1990.0
1991,62.333333333333336,81.47500000000001,45.46666666666667,57.86666666666667,49.0075,55.48333333333333,1990.0
1992,64.22500000000001,78.39999999999999,54.800000000000004,60.958333333333336,52.99333333333334,56.025,1990.0
1993,62.25833333333333,75.02499999999999,48.60833333333333,59.025,53.965833333333336,62.025,1990.0
1994,67.26666666666667,76.3,47.40833333333333,61.93333333333334,71.86749999999999,74.95,1990.0
1995,76.81666666666666,85.25,62.708333333333336,70.85000000000001,79.96,82.2,1990.0
1996,77.81666666666666,84.35833333333333,61.625,83.64999999999999,69.93583333333333,73.99166666666666,1990.0
1997,70.75833333333334,79.31666666666666,59.44166666666666,66.52499999999999,70.685,70.375,1990.0
1998,64.81666666666666,66.27499999999999,55.76666666666667,58.9,83.88666666666667,55.225,1990.0
1999,55.39166666666667,62.425000000000004,48.30833333333334,53.125,58.225833333333334,38.800000000000004,1990.0
2000,53.65,61.300000000000004,54.46666666666667,51.4,42.89333333333334,50.61666666666667,2000.0
2001,55.34166666666667,62.90833333333333,60.88333333333333,51.85,42.4825,53.475,2000.0
2002,53.425000000000004,56.10833333333333,46.09166666666667,55.574999999999996,55.145,42.641666666666666,2000.0
2003,58.11666666666667,59.30833333333334,54.49166666666667,59.38333333333333,62.629999999999995,43.85833333333333,2000.0
2004,65.89999999999999,68.60000000000001,69.83333333333333,63.99166666666667,69.61083333333333,44.35,2000.0
2005,67.63333333333334,72.575,77.20833333333333,60.76666666666667,64.39916666666666,61.199999999999996,2000.0
2006,72.85833333333333,71.39166666666667,73.05833333333334,71.22500000000001,70.54666666666667,91.39166666666667,2000.0
2007,94.55833333333334,77.75833333333334,122.39999999999999,100.89999999999999,107.315,62.38333333333333,2000.0
2008,117.74166666666667,90.85000000000001,132.33333333333334,137.625,141.07333333333335,79.18333333333334,2000.0
2009,91.8,81.625,91.425,97.18333333333334,94.42750000000001,112.22500000000001,2000.0
2010,106.88333333333333,91.38333333333333,111.89166666666667,107.50833333333333,121.95,131.73333333333332,2010.0
2011,131.76666666666668,105.02499999999999,129.9,142.15,156.47916666666666,160.9,2010.0
2012,122.75,104.7,111.64999999999999,137.4,138.3075,133.32500000000002,2010.0
2013,120.14166666666667,106.22500000000001,140.90833333333333,129.11666666666667,119.5,109.45833333333333,2010.0
2014,114.97500000000001,112.10000000000001,130.20000000000002,115.825,110.61583333333334,105.2,2010.0
2015,93.06666666666666,96.79166666666667,87.14166666666667,95.875,89.94166666666666,83.18333333333334,2010.0
2016,91.95833333333333,91.10000000000001,82.64999999999999,88.31666666666666,99.44333333333333,111.61666666666667,2010.0
2017,97.925,97.47500000000001,108.01666666666667,90.98333333333333,101.90833333333335,99.10000000000001,2010.0
2018,95.74166666666667,94.40833333333335,107.27499999999999,100.81666666666666,87.76083333333334,77.4,2010.0
2019,94.925,99.46666666666665,102.80833333333334,96.60000000000001,83.23833333333333,78.60833333333333,2010.0
2020,98.05833333333334,95.31666666666666,101.80833333333334,103.10833333333333,99.4425,79.50833333333334,2020.0
2021,125.74166666666667,107.54166666666667,119.60000000000001,131.14166666666668,164.85999999999999,109.34166666666665,2020.0
2022,144.51666666666665,118.325,149.51666666666668,154.66666666666666,187.76666666666665,114.45833333333333,2020.0
2023,124.52499999999999,114.10833333333333,123.73333333333333,130.88333333333333,126.29166666666667,144.98333333333332,2020.0
2024,121.98333333333333,117.25833333333333,129.83333333333334,113.48333333333333,138.07500000000002,125.72500000000001,2020.0
2025,127.0,120.48333333333333,149.86666666666665,110.23333333333333,156.11666666666667,112.0,2020.0
